id,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
0500000US48085,"Collin County, Texas",94192,911
0500000US48113,"Dallas County, Texas",56854,391
0500000US48121,"Denton County, Texas",83376,1008
0500000US48139,"Ellis County, Texas",72213,2151
0500000US48231,"Hunt County, Texas",51928,1501
0500000US48251,"Johnson County, Texas",62066,2041
0500000US48257,"Kaufman County, Texas",65390,1830
0500000US48367,"Parker County, Texas",74625,2568
0500000US48397,"Rockwall County, Texas",94767,3323
0500000US48439,"Tarrant County, Texas",64874,547
0500000US48497,"Wise County, Texas",61709,2458